DuplicateResponseID,MaintainedResponseID,Justification
65689560,65698634,"Incomplete response followed by complete response"
62136320,62318770,"Incomplete response followed by complete response"
72606663,74385150,"Incomplete response followed by complete response"
73067509,74385150,"Incomplete response followed by complete response"
73069964,74385150,"Incomplete response followed by complete response"
65677010,73145526,"Duplicate complete responses, keeping the last one"
63782622,63791001,"Duplicate incomplete responses, keeping the last one"
66953873,71353860,"Incomplete response followed by complete response"
66954413,71353860,"Duplicate complete responses, keeping the last one"
62320844,62384198,"Duplicate incomplete responses, keeping the last one"
63459188,65591076,"Incomplete response followed by complete response"
63460700,65591076,"Duplicate complete responses, keeping the last one"
65561976,65591076,"Incomplete response followed by complete response"
65562460,65591076,"Incomplete response followed by complete response"
